School,Nickname,Full Name
Morgan State University,Bears,Morgan State University Bears
Norfolk State University,Spartans,Norfolk State University Spartans
North Carolina Central University/NCCU/NC Central,Eagles,North Carolina Central University Eagles
South Carolina State University /SC State/South Carolina State,Bulldogs,South Carolina State University Bulldogs
Belmont University,Bruins,Belmont University Bruins
Bradley University,Braves,Bradley University Braves
Drake University,Bulldogs,Drake University Bulldogs
University of Evansville,Purple Aces,University of Evansville Purple Aces
Illinois State University,Redbirds,Illinois State University Redbirds
Indiana State University,Sycamores,Indiana State University Sycamores
Missouri State University,Bears,Missouri State University Bears
Murray State University,Racers,Murray State University Racers
University of Northern Iowa/UNI,Panthers,University of Northern Iowa Panthers
Southern Illinois University Carbondale/Southern Illinois/ SIU,Salukis,Southern Illinois University Carbondale Salukis
University of Illinois Chicago/UIC,Flames,University of Illinois Chicago Flames
Valparaiso University/Valpo,Beacons,Valparaiso University Beacons
United States Air Force Academy /Air Force,Falcons,United States Air Force Academy Falcons
Boise State University,Broncos,Boise State University Broncos
Colorado State University,Rams,Colorado State University Rams
California State University/ Fresno /Fresno State,Bulldogs,Fresno State Bulldogs
University of Nevada/ Reno/Nevada/ UNR,Wolf Pack,University of Nevada Wolf Pack
University of New Mexico/UNM,Lobos,University of New Mexico Lobos
San Diego State University/SDSU,Aztecs,San Diego State University Aztecs
San Jose State University,Spartans,San Jose State University Spartans
University of Nevada/ Las Vegas /UNLV,Runnin' Rebels,UNLV Runnin' Rebels
Utah State University,Aggies,Utah State University Aggies
University of Wyoming,Cowboys,University of Wyoming Cowboys
Central Connecticut State University/Central Connecticut,Blue Devils,Central Connecticut State University Blue Devils
Fairleigh Dickinson University,Knights,Fairleigh Dickinson University Knights
Le Moyne College,Dolphins,Le Moyne College Dolphins
Long Island University /LIU,Sharks,Long Island University Sharks
Merrimack College,Warriors,Merrimack College Warriors
Sacred Heart University,Pioneers,Sacred Heart University Pioneers
Saint Francis University/Saint Francis PA/SFU/St. Francis (PA) Red Flash,Red Flash,Saint Francis University Red Flash
Stonehill College,Skyhawks,Stonehill College Skyhawks
Wagner College,Seahawks,Wagner College Seahawks
Eastern Illinois University,Panthers,Eastern Illinois University Panthers
Lindenwood University,Lions,Lindenwood University Lions
University of Arkansas at Little Rock/Little Rock/Arkansas LR/Arkansas Little Rock,Trojans,University of Arkansas at Little Rock Trojans
Morehead State University,Eagles,Morehead State University Eagles
Southeast Missouri State University/Southeast Missouri/SEMO/SE Missouri,Redhawks,Southeast Missouri State University Redhawks
Southern Illinois University Edwardsville/SIU Edwardsville/ SIUE,Cougars,Southern Illinois University (SIU) Edwardsville Cougars
University of Southern Indiana,Screaming Eagles,University of Southern Indiana Screaming Eagles
University of Tennessee at Martin /UT Martin,Skyhawks,University of Tennessee at Martin Skyhawks
Tennessee State University,Tigers,Tennessee State University Tigers
Tennessee Technological University/Tennessee Tech,Golden Eagles,Tennessee Technological University Golden Eagles
Western Illinois University/W Illinois,Leathernecks,Western Illinois University Leathernecks
University of Arizona,Wildcats,University of Arizona Wildcats
Arizona State University,Sun Devils,Arizona State University Sun Devils
University of California/ Berkeley/California/ Cal/California-Berkeley Golden Bears,Golden Bears,University of California Golden Bears
University of Colorado Boulder/Colorado,Buffaloes,University of Colorado Boulder Buffaloes
University of Oregon,Ducks,University of Oregon Ducks
Oregon State University,Beavers,Oregon State University Beavers
Stanford University,Cardinal,Stanford University Cardinal
University of California/ Los Angeles/UCLA,Bruins,UCLA Bruins
University of Southern California/USC Trojans,Trojans,University of Southern California Trojans
University of Utah,Utes,University of Utah Utes
Washington State University,Cougars,Washington State University Cougars
American University,Eagles,American University Eagles
United States Military Academy/Army/ Army West Point,Black Knights,United States Military Academy Black Knights
Boston University,Terriers,Boston University Terriers
Bucknell University,Bison,Bucknell University Bison
Colgate University,Raiders,Colgate University Raiders
College of the Holy Cross,Crusaders,College of the Holy Cross Crusaders
Lafayette College,Leopards,Lafayette College Leopards
Lehigh University,Mountain Hawks,Lehigh University Mountain Hawks
United States Naval Academy/Navy,Midshipmen,United States Naval Academy Midshipmen
University of Alabama,Crimson Tide,University of Alabama Crimson Tide
University of Arkansas,Razorbacks,University of Arkansas Razorbacks
Auburn University,Tigers,Auburn University Tigers
University of Florida,Gators,University of Florida Gators
University of Georgia /UGA,Bulldogs,University of Georgia Bulldogs
University of Kentucky /UK,Wildcats,University of Kentucky Wildcats
Louisiana State University/LSU,Tigers,Louisiana State University Tigers
University of Mississippi/Ole Miss Rebels,Rebels,University of Mississippi Rebels
Mississippi State University,Bulldogs,Mississippi State University Bulldogs
University of Missouri/Mizzou,Tigers,University of Missouri Tigers
University of Tennessee,Volunteers,University of Tennessee Volunteers
Texas A&M University,Aggies,Texas A&M University Aggies
Vanderbilt University/Vandy,Commodores,Vanderbilt University Commodores
University of Tennessee at Chattanooga/Chattanooga,Mocs,University of Tennessee at Chattanooga Mocs
The Citadel,Bulldogs,The Citadel Bulldogs
East Tennessee State University/ETSU,Buccaneers,East Tennessee State University Buccaneers
Furman University,Paladins,Furman University Paladins
Mercer University,Bears,Mercer University Bears
Samford University,Bulldogs,Samford University Bulldogs
University of North Carolina at Greensboro/UNCG Spartans/ UNC Greensboro,Spartans,University of North Carolina at Greensboro Spartans
Virginia Military Institute /VMI,Keydets,Virginia Military Institute Keydets
Western Carolina University/W Carolina,Catamounts,Western Carolina University Catamounts
Wofford College,Terriers,Wofford College Terriers
Houston Christian University/HCU,Huskies,Houston Christian University Huskies
University of the Incarnate Word /UIW,Cardinals,University of the Incarnate Word Cardinals
Lamar University,Cardinals,Lamar University Cardinals
McNeese State University/McNeese,Cowboys,McNeese State University Cowboys
University of New Orleans/New Orleans U,Privateers,University of New Orleans Privateers
Nicholls State University/Nicholls,Colonels,Nicholls State University Colonels
Northwestern State University/N'Western St,Demons,Northwestern State University Demons
Southeastern Louisiana University/SE Louisiana,Lions,Southeastern Louisiana University Lions
Texas A&M University-Corpus Christi/Texas A&M-Corpus Christi/Texas A and M Corpus,Islanders,Texas A&M University-Corpus Christi Islanders
Texas A&M University–Commerce,Lions,Texas A&M University–Commerce Lions
Alabama Agricultural and Mechanical University ,Bulldogs,Alabama Agricultural and Mechanical (A&M) University Bulldogs
Alabama A&M/Alabama AM,Alabama A&M,Alabama A&M
Alabama State University,Hornets,Alabama State University Hornets
Alcorn State University,Braves,Alcorn State University Braves
University of Arkansas at Pine Bluff/Arkansas-Pine Bluff/ UAPB/Arkansas Pine Bluff,Golden Lions,University of Arkansas at Pine Bluff Golden Lions
Bethune-Cookman University/Bethune Cookman/Bethune,Wildcats,Bethune–Cookman University Wildcats
Florida Agricultural and Mechanical University/Florida A&M/ FAMU,Rattlers,Florida Agricultural and Mechanical University Rattlers
Grambling State University,Tigers,Grambling State University Tigers
Jackson State University,Tigers,Jackson State University Tigers
Mississippi Valley State University,Delta Devils,Mississippi Valley State University Delta Devils
Prairie View A&M University,Panthers,Prairie View A&M University Panthers
Southern University,Jaguars,Southern University Jaguars
Texas Southern University,Tigers,Texas Southern University Tigers
University of Denver/Denver U,Pioneers,University of Denver Pioneers
University of Missouri–Kansas City/Kansas City/UMKC,Roos,University of Missouri–Kansas City Roos
University of North Dakota,Fighting Hawks,University of North Dakota Fighting Hawks
North Dakota State University/NDSU/N Dakota St,Bison,North Dakota State University Bison
University of Nebraska Omaha/Omaha/Nebraska-Omaha,Mavericks,University of Nebraska Omaha Mavericks
Oral Roberts University,Golden Eagles,Oral Roberts University Golden Eagles
University of St. Thomas/St. Thomas Minnesota/Saint Thomas MN,Tommies,University of Saint Thomas Tommies
University of South Dakota,Coyotes,University of South Dakota Coyotes
South Dakota State University/S Dakota St,Jackrabbits,South Dakota State University Jackrabbits
Appalachian State University,Mountaineers,Appalachian State University Mountaineers
Arkansas State University,Red Wolves,Arkansas State University Red Wolves
Coastal Carolina University,Chanticleers,Coastal Carolina University Chanticleers
Georgia Southern University/GA Southern,Eagles,Georgia Southern University Eagles
Georgia State University,Panthers,Georgia State University Panthers
James Madison University/JMU,Dukes,James Madison University Dukes
University of Louisiana at Monroe/Louisiana–Monroe/ ULM/UL Monroe,Warhawks,University of Louisiana at Monroe Warhawks
Marshall University,Thundering Herd,Marshall University Thundering Herd
Old Dominion University,Monarchs,Old Dominion University Monarchs
University of South Alabama,Jaguars,University of South Alabama Jaguars
University of Southern Mississippi/Southern Miss,Golden Eagles,University of Southern Mississippi Golden Eagles
Texas State University,Bobcats,Texas State University Bobcats
Troy University,Trojans,Troy University Trojans
Gonzaga University,Bulldogs,Gonzaga University Bulldogs
Loyola Marymount University/LMU,Lions,Loyola Marymount University Lions
University of the Pacific,Tigers,University of the Pacific Tigers
Pepperdine University,Waves,Pepperdine University Waves
University of Portland/Portland U,Pilots,University of Portland Pilots
Saint Mary's College of California/Saint Mary's/Saint Mary's CA/Saint Marys,Gaels,Saint Mary's College of California Gaels
University of San Diego,Toreros,University of San Diego Toreros
University of San Francisco,Dons,University of San Francisco Dons
Santa Clara University,Broncos,Santa Clara University Broncos
Abilene Christian University/Abilene Chrstn,Wildcats,Abilene Christian University Wildcats
California Baptist University/CBU,Lancers,California Baptist University Lancers
Grand Canyon University,Antelopes,Grand Canyon University Antelopes
Seattle University/Red Hawks,Redhawks,Seattle University Redhawks
Southern Utah University,Thunderbirds,Southern Utah University Thunderbirds
Stephen F. Austin State University/Stephen F. Austin/SFA/Stephen Austin,Lumberjacks,Stephen F. Austin State University Lumberjacks
Tarleton State University/Tarleton,Texans,Tarleton State University Texans
Utah Tech University,Trailblazers,Utah Tech University Trailblazers
Utah Valley University/Utah Valley State,Wolverines,Utah Valley University Wolverines
University of Texas at Arlington /UT Arlington,Mavericks,University of Texas at Arlington Mavericks
University of Texas Rio Grande Valley/UTRGV/UT Rio Grande Valley Vaqueros,Vaqueros,University of Texas (UT) Rio Grande Valley Vaqueros
